[rospy.client][INFO] 2020-09-14 12:33:43,509: init_node, name[/car_driver_node], pid[2946]
[xmlrpc][INFO] 2020-09-14 12:33:43,510: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-14 12:33:43,512: Started XML-RPC server [http://192.168.43.172:37179/]
[rospy.init][INFO] 2020-09-14 12:33:43,512: ROS Slave URI: [http://192.168.43.172:37179/]
[rospy.impl.masterslave][INFO] 2020-09-14 12:33:43,513: _ready: http://192.168.43.172:37179/
[xmlrpc][INFO] 2020-09-14 12:33:43,514: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-14 12:33:43,516: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-14 12:33:43,613: registered with master
[rospy.rosout][INFO] 2020-09-14 12:33:43,614: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-14 12:33:43,621: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-14 12:33:43,624: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-14 12:33:43,687: topic[/cmd_vel] adding connection to [http://192.168.43.172:34065/], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,833: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,937: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,951: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-14 12:35:58,919: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:59,418: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:59,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:00,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:00,943: cmd_vel:0.105263158679,0.641025662422
[rosout][INFO] 2020-09-14 12:36:01,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:01,916: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:36:01,979: error tail:254
[rosout][INFO] 2020-09-14 12:36:02,422: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:02,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:03,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:03,941: cmd_vel:0.0263157896698,0.333333343267
[rosout][INFO] 2020-09-14 12:36:04,442: cmd_vel:0.5,0.641025662422
[rosout][INFO] 2020-09-14 12:36:04,949: cmd_vel:0.184210523963,0.487179487944
[rosout][INFO] 2020-09-14 12:36:05,450: cmd_vel:0.5,0.538461565971
[rosout][ERROR] 2020-09-14 12:36:05,515: error tail:208
[rosout][INFO] 2020-09-14 12:36:05,947: cmd_vel:0.5,0.487179487944
[rosout][INFO] 2020-09-14 12:36:06,456: cmd_vel:0.5,0.487179487944
[rosout][INFO] 2020-09-14 12:36:06,921: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:36:07,423: error tail:119
[rosout][INFO] 2020-09-14 12:36:07,451: cmd_vel:0.5,0.435897439718
[rosout][INFO] 2020-09-14 12:36:07,949: cmd_vel:0.342105269432,0.333333343267
[rosout][INFO] 2020-09-14 12:36:08,448: cmd_vel:0.5,0.333333343267
[rosout][INFO] 2020-09-14 12:36:08,916: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:36:09,456: cmd_vel:0.460526317358,0.230769231915
[rosout][INFO] 2020-09-14 12:36:09,948: cmd_vel:0.105263158679,0.17948718369
[rosout][INFO] 2020-09-14 12:36:10,443: cmd_vel:0.460526317358,0.0769230797887
[rosout][INFO] 2020-09-14 12:36:10,953: cmd_vel:0.460526317358,-0.0256410259753
[rosout][ERROR] 2020-09-14 12:36:11,021: error tail:53
[rosout][INFO] 2020-09-14 12:36:11,446: cmd_vel:0.460526317358,-0.0769230797887
[rosout][INFO] 2020-09-14 12:36:11,959: cmd_vel:0.065789476037,-0.0256410259753
[rosout][INFO] 2020-09-14 12:36:12,450: cmd_vel:0.421052634716,-0.128205135465
[rosout][INFO] 2020-09-14 12:36:12,951: cmd_vel:0.105263158679,-0.17948718369
[rosout][INFO] 2020-09-14 12:36:13,452: cmd_vel:0.421052634716,-0.230769231915
[rosout][INFO] 2020-09-14 12:36:13,957: cmd_vel:0.421052634716,-0.333333343267
[rosout][INFO] 2020-09-14 12:36:14,447: cmd_vel:0.381578952074,-0.384615391493
[rosout][INFO] 2020-09-14 12:36:14,938: cmd_vel:-0.0131578948349,-0.435897439718
[rosout][INFO] 2020-09-14 12:36:15,444: cmd_vel:0.30263158679,-0.487179487944
[rosout][INFO] 2020-09-14 12:36:15,947: cmd_vel:0.223684206605,-0.487179487944
